ATRA	Atara Biotherapeutics	Biotechnology	1.33B
ATRC	AtriCure	Health Care Equipment & Supplies	3.43B
ATRI	Atrion Corporation	Health Care Equipment & Supplies	1.36B
ATRO	Astronics Corporation	Aerospace & Defense	407.67M
ATRS	Antares Pharma	Health Care Equipment & Supplies	632.28M
ATSG	Air Transport Services Group	Air Freight & Logistics	2.00B
ATTO	Atento	Commercial Services & Supplies	366.00M
ATUS	Altice USA	Media	12.20B
ATVC	Tribe Capital Growth I	Shell Companies	333.96M
ATVI	Activision Blizzard	Entertainment	61.94B
ATXI	Avenue Therapeutics	Pharmaceuticals	29.31M
ATXS	Astria Therapeutics	Biotechnology	109.52M
ATY	AcuityAds	Interactive Media & Services	464.75M
AU	AngloGold Ashanti	Metals & Mining	6.38B
AUB	Atlantic Union Bankshares	Banks	2.65B
AUBN	Auburn National Bancorporation	Banks	122.78M
AUD	Audacy	Media	445.52M
AUDC	AudioCodes	Communications Equipment	1.06B
AUID	Ipsidy	Software-Infrastructure	282.47M
AUMN	Golden Minerals	Metals & Mining	82.41M
AUPH	Aurinia Pharmaceuticals	Biotechnology	2.55B
AURC	Aurora Acquisition	Shell Companies	347.16M
AUS	Austerlitz Acquisition I	Shell Companies	981.77M
AUTL	Autolus Therapeutics	Biotechnology	495.38M
AUTO	AutoWeb	Interactive Media & Services	35.28M
AUUD	Auddia	Software-Application	34.55M
AUVI	Applied UV	Building Products	60.64M
AUY	Yamana Gold	Metals & Mining	3.98B
AVA	Avista	Multi-Utilities	2.87B
AVAH	Aveanna Healthcare Holdings	Medical Care Facilities	1.65B
AVAL	Grupo Aval Acciones y Valores	Banks	6.43B
AVAN	Avanti Acquisition	Shell Companies	732.75M
AVAV	AeroVironment	Aerospace & Defense	2.33B
AVB	AvalonBay Communities	Equity Real Estate Investment Trusts...	31.55B
AVCO	Avalon GloboCare	Health Care Providers & Services	78.54M
AVCT	American Virtual Cloud Technologies	IT Services	74.97M
AVD	American Vanguard	Chemicals	462.86M
AVDL	Avadel Pharmaceuticals	Pharmaceuticals	466.43M
AVEO	AVEO Pharmaceuticals	Biotechnology	228.24M
AVGO	Broadcom	Semiconductors & Semiconductor Equipment	205.05B
AVGR	Avinger	Health Care Equipment & Supplies	85.82M
AVID	Avid Technology	Technology Hardware, Storage & Periph...	1.16B
AVIR	Atea Pharmaceuticals	Pharmaceuticals	2.37B
AVLR	Avalara	Software	15.89B
AVNS	Avanos Medical	Health Care Equipment & Supplies	1.51B
AVNT	Avient	Chemicals	4.32B
AVNW	Aviat Networks	Communications Equipment	392.46M
AVO	Mission Produce	Farm Products	1.45B
AVPT	AvePoint	Software-Infrastructure	1.78B
AVRO	Avrobio	Biotechnology	272.21M
AVT	Avnet	Electronic Equipment, Instruments & C...	3.86B
AVTE	Aerovate Therapeutics	Biotechnology	482.96M
AVTR	Avantor	Life Sciences Tools & Services	24.73B
AVTX	Avalo Therapeutics	Pharmaceuticals	284.99M
AVXL	Anavex Life Sciences	Biotechnology	1.42B
AVY	Avery Dennison	Containers & Packaging	18.60B
AVYA	Avaya Holdings	Software	1.64B
AWH	Aspira Women's Health	Health Care Equipment & Supplies	391.11M
AWI	Armstrong World Industries	Building Products	4.67B
AWK	American Water Works	Water Utilities	33.54B
AWR	American States Water	Water Utilities	3.34B
AWRE	Aware	Software	86.33M
AWX	Avalon Holdings	Commercial Services & Supplies	15.83M
AX	Axos Financial	Thrifts & Mortgage Finance	2.71B
AXDX	Accelerate Diagnostics	Life Sciences Tools & Services	371.45M
AXGN	Axogen	Health Care Equipment & Supplies	678.50M
AXL	American Axle & Manufacturing	Auto Components	924.92M
AXLA	Axcella Health	Biotechnology	126.75M
AXNX	Axonics Modulation Technologies	Health Care Equipment & Supplies	3.46B
AXON	Axon Enterprise	Aerospace & Defense	11.81B
AXP	American Express	Consumer Finance	126.09B
AXR	AMREP Corporation	Commercial Services & Supplies	120.24M
AXS	AXIS Capital Holdings	Insurance	3.99B
AXSM	Axsome Therapeutics	Pharmaceuticals	1.03B
AXTA	Axalta Coating Systems	Chemicals	6.67B
AXTI	AXT Inc.	Semiconductors & Semiconductor Equipment	392.34M
AXU	Alexco Resource	Commercial Services & Supplies	253.77M
AY	Atlantica Sustainable Infrastructure	Independent Power and Renewable Elect...	4.14B
AYI	Acuity Brands	Electrical Equipment	6.17B
AYLA	Ayala Pharmaceuticals	Biotechnology	186.33M
AYRO	AYRO, Inc.	Auto Manufacturers	140.46M
AYTU	Aytu BioScience	Pharmaceuticals	90.65M
AYX	Alteryx	Software	4.87B
AZEK	AZEK Company	Building Products	6.16B
AZN	AstraZeneca	Pharmaceuticals	175.21B
AZO	AutoZone	Specialty Retail	33.41B
AZPN	Aspen Technology	Software	8.48B
AZRE	Azure Power Global	Independent Power and Renewable Elect...	1.07B
AZRX	AzurRx BioPharma	Biotechnology	50.84M
AZUL	Azul S.A.	Airlines	2.32B
AZYO	Aziyo Biologics	Medical Devices	91.96M
AZZ	AZZ Inc.	Electrical Equipment	1.30B
B	Barnes Group	Machinery	2.28B
BA	Boeing	Aerospace & Defense	123.27B
BABA	Alibaba Group	Internet & Direct Marketing Retail	468.17B
BAC	Bank of America	Banks	338.87B
BAH	Booz Allen Hamilton	IT Services	11.02B
BAK	Braskem	Chemicals	10.14B
BALY	Bally's Corporation	Hotels, Restaurants & Leisure	2.11B
BAM	Brookfield Asset Management	Capital Markets	86.52B
BANC	Banc of California	Banks	877.65M
BAND	Bandwidth	Diversified Telecommunication Services	2.67B
BANF	BancFirst Corporation	Banks	1.77B
BANR	Banner Corporation	Banks	1.79B
BANX	StoneCastle Financial	Capital Markets	150.53M
BAOS	Baosheng Media Group	Advertising Agencies	61.45M
BAP	Credicorp	Banks	8.37B
BARK	The Original BARK Company	Specialty Retail	1.38B
BASE	Couchbase	Software-Infrastructure	1.65B
BATL	Battalion Oil	Oil, Gas & Consumable Fuels	130.14M
BAX	Baxter International	Health Care Equipment & Supplies	40.45B
BB	BlackBerry	Software	5.91B
BBAR	Banco BBVA Argentina	Banks	851.67M
BBBY	Bed Bath & Beyond	Specialty Retail	2.55B
BBCP	Concrete Pumping Holdings	Construction & Engineering	473.69M
BBD	Banco Bradesco	Banks	38.84B
BBDC	Barings BDC	Capital Markets	704.11M
BBGI	Beasley Broadcast Group	Media	74.33M
BBI	Brickell Biotech	Biotechnology	67.87M
BBIG	Vinco Ventures	Leisure	719.53M
BBIO	BridgeBio Pharma	Biotechnology	7.54B
BBL	BHP Group	Metals & Mining	150.06B
BBQ	BBQ Holdings	Hotels, Restaurants & Leisure	135.59M
BBSI	Barrett Business Services	Professional Services	579.34M
BBU	Brookfield Business Partners	Construction & Engineering	7.98B
BBVA	Banco Bilbao Vizcaya Argentaria	Banks	43.37B
BBW	Build-A-Bear Workshop	Specialty Retail	273.90M
BBWI	Bath & Body Works	Specialty Retail	16.82B
BBY	Best Buy	Specialty Retail	27.39B
BC	Brunswick	Leisure Products	7.53B
BCAB	BioAtla	Biotechnology	1.28B
BCAC	Brookline Capital Acquisition	Shell Companies	73.60M
BCBP	BCB Bancorp	Banks	246.88M
BCC	Boise Cascade	Paper & Forest Products	2.18B
BCDA	BioCardia	Biotechnology	50.78M
BCE	BCE, Inc.	Diversified Telecommunication Services	47.60B
BCEI	Bonanza Creek Energy	Oil, Gas & Consumable Fuels	1.35B
BCEL	Atreca	Biotechnology	226.16M
BCH	Banco de Chile SA	Banks	9.67B
BCLI	Brainstorm Cell Therapeutics	Biotechnology	119.13M
BCML	BayCom	Banks	192.70M
BCO	Brink's Company	Commercial Services & Supplies	3.66B
BCOR	Blucora	Capital Markets	763.16M
BCOV	Brightcove	IT Services	496.28M
BCOW	1895 Bancorp of Wisconsin	Thrifts & Mortgage Finance	69.86M
BCPC	Balchem Corporation	Chemicals	4.49B
BCRX	BioCryst Pharmaceuticals	Biotechnology	2.72B
BCS	Barclays	Banks	42.56B
BCSF	Bain Capital	Capital Markets	972.95M
BCTX	BriaCell Therapeutics	Biotechnology	115.29M
BCYC	Bicycle Therapeutics	Biotechnology	1.03B
BCYP	Big Cypress Acquisition	Shell Companies	148.32M
BDC	Belden	Electronic Equipment, Instruments & C...	2.58B
BDL	Flanigan's Enterprises	Hotels, Restaurants & Leisure	43.89M
BDN	Brandywine Realty Trust	Equity Real Estate Investment Trusts...	2.26B
BDR	Blonder Tongue Laboratories	Communications Equipment	14.08M
BDSI	BioDelivery Sciences	Pharmaceuticals	422.00M
BDSX	Biodesix	Diagnostics & Research	260.54M
BDTX	Black Diamond Therapeutics	Biotechnology	357.07M
BDX	Becton, Dickinson	Health Care Equipment & Supplies	74.19B
BE	Bloom Energy	Electrical Equipment	3.40B
BEAM	Beam Therapeutics	Beverages	7.23B
BECN	Beacon Roofing Supply	Trading Companies & Distributors	3.60B
BEDU	Bright Scholar Education	Diversified Consumer Services	358.98M
BEEM	Beam Global	Electrical Equipment	243.39M
BEKE	KE Holdings	Real Estate Management & Development	22.60B
BELFA	Bel Fuse	Electronic Components	163.53M
BELFB	Bel Fuse	Electronic Equipment, Instruments & C...	163.53M
BEN	Franklin Resources	Capital Markets	15.75B
BENE	Benessere Capital Acquisition	Shell Companies	149.68M
BEP	Brookfield Renewable Partners	Independent Power and Renewable Elect...	11.02B
BEPC	Brookfield Renewable Corporation	Independent Power and Renewable Elect...	7.40B
BERY	Berry Global Group	Containers & Packaging	8.66B
BEST	BEST Inc.	Air Freight & Logistics	567.36M
BF.A	Brown-Forman	Beverages	33.41B
BF.B	Brown-Forman	Beverages	33.41B
BFAM	Bright Horizons Family Solutions	Diversified Consumer Services	8.54B
BFC	Bank First	Banks	522.80M
BFI	BurgerFi International	Restaurants	174.82M
BFIN	BankFinancial Corporation	Banks	153.77M
BFLY	Butterfly Network	Medical Devices	2.47B
BFRA	Biofrontera AG	Biotechnology	162.31M
BFS	Saul Centers	Equity Real Estate Investment Trusts...	1.03B
BFST	Business First Bancshares	Banks	455.47M
BG	Bunge	Food Products	10.79B
BGCP	BGC Partners	Capital Markets	1.96B
BGFV	Big 5 Sporting Goods	Specialty Retail	624.41M
BGI	Birks Group	Specialty Retail	43.81M
BGNE	BeiGene	Biotechnology	32.68B
BGRY	Berkshire Grey	Specialty Industrial Machinery	1.63B
BGS	B&G Foods	Food Products	1.94B
BGSF	BG Staffing	Professional Services	132.70M
BGSX	Build Acquisition	Shell Companies	242.50M
BH	Biglari Holdings	Hotels, Restaurants & Leisure	511.80M
BH.A	Biglari Holdings	Restaurants	511.80M
BHAT	Blue Hat Interactive	Entertainment	39.16M
BHB	Bar Harbor Bankshares	Banks	386.69M
BHC	Bausch Health Companies	Pharmaceuticals	10.23B
BHE	Benchmark Electronics	Electronic Equipment, Instruments & C...	982.42M
BHF	Brighthouse Financial	Insurance	3.80B
BHG	Bright Health Group	Healthcare Plans	6.08B
BHLB	Berkshire Hills Bancorp	Banks	1.18B
BHP	BHP Group	Metals & Mining	150.06B
BHR	Braemar Hotels & Resorts	Equity Real Estate Investment Trusts...	299.43M
BHSE	Bull Horn Holdings	Shell Companies	92.86M
BHTG	BioHiTech Global	Commercial Services & Supplies	42.04M
BHVN	Biohaven Pharmaceutical	Biotechnology	8.80B
BIDU	Baidu, Inc	Interactive Media & Services	57.12B
BIG	Big Lots	Multiline Retail	1.50B
BIGC	BigCommerce	IT Services	3.97B
BIIB	Biogen	Biotechnology	44.68B
BILI	Bilibili	Entertainment	31.96B
BILL	Bill.com	Software	27.20B
BIMI	BIMI International Medical	Machinery	19.83M
BIO	Bio-Rad Laboratories	Life Sciences Tools & Services	24.41B
BIOC	Biocept	Biotechnology	55.80M
BIOL	BIOLASE, Inc.	Health Care Equipment & Supplies	104.82M
BIOT	Biotech Acquisition	n/a	222.87M
BIOX	Bioceres Crop Solutions	Food Products	530.03M
BIP	Brookfield Infrastructure Partners	Multi-Utilities	17.14B
BIPC	Brookfield Infrastructure	Gas Utilities	2.84B
BITE	Bite Acquisition	n/a	248.71M
BITF	Bitfarms	Capital Markets	922.39M
BIVI	BioVie	Biotechnology	182.28M
BJ	BJ's Wholesale Club	Food & Staples Retailing	7.95B
BJRI	BJ's Restaurants	Hotels, Restaurants & Leisure	894.12M
BK	Bank of New York Mellon	Capital Markets	44.81B
BKCC	BlackRock Capital Investment	Capital Markets	304.56M
BKD	Brookdale Senior Living	Health Care Providers & Services	1.25B
BKE	The Buckle	Specialty Retail	2.04B
BKEP	BlueKnight Energy Partners	Oil, Gas & Consumable Fuels	132.01M
BKH	Black Hills	Multi-Utilities	4.28B
BKI	Black Knight	IT Services	11.62B
BKNG	Booking Holdings	Internet & Direct Marketing Retail	94.63B
BKR	Baker Hughes	Energy Equipment & Services	19.77B
BKSC	Bank of South Carolina	Banks	114.03M
BKSY	BlackSky Technology	n/a	352.40M
BKTI	BK Technologies	Communications Equipment	51.03M
BKU	BankUnited	Banks	3.76B
BKYI	BIO-key International	Software	24.49M
BL	BlackLine	Software	7.04B
BLBD	Blue Bird	Machinery	523.68M
BLCM	Bellicum Pharmaceuticals	Biotechnology	25.19M
BLCT	BlueCity Holdings	Internet Content & Information	125.04M
BLD	TopBuild	Household Durables	7.42B
BLDE	Blade Air Mobility	Airports & Air Services	683.86M
BLDP	Ballard Power Systems	Electrical Equipment	4.55B
BLDR	Builders FirstSource	Building Products	11.08B
BLFS	BioLife Solutions	Health Care Equipment & Supplies	2.13B
BLFY	Blue Foundry Bancorp	Banks-Regional	415.00M
BLI	Berkeley Lights	Life Sciences Tools & Services	2.37B
BLIN	Bridgeline Digital	Software	36.76M
BLK	BlackRock	Capital Markets	139.51B
BLKB	Blackbaud	Software	3.28B
BLL	Ball Corporation	Containers & Packaging	30.97B
BLMN	Bloomin' Brands	Hotels, Restaurants & Leisure	2.22B
BLND	Blend Labs	Software-Application	3.60B
BLNK	Blink Charging	Specialty Retail	1.29B
BLPH	Bellerophon Therapeutics	Health Care Equipment & Supplies	39.17M
BLRX	BioLineRx	Biotechnology	130.95M
BLSA	BCLS Acquisition	Shell Companies	189.06M
BLTS	Bright Lights Acquisition	Shell Companies	279.74M
BLU	BELLUS Health	Biotechnology	308.61M
BLUA	BlueRiver Acquisition	Shell Companies	258.26M
BLUE	Bluebird Bio	Biotechnology	1.21B
BLX	Banco Latinoamericano	Diversified Financial Services	653.49M
BMA	Banco Macro	Banks	1.17B
BMBL	Bumble	Software-Application	10.74B
BMEA	Biomea Fusion	Biotechnology	330.58M
BMI	Badger Meter	Electronic Equipment, Instruments & C...	2.98B
BMO	Bank of Montreal	Banks	65.42B
BMRA	Biomerica	Health Care Equipment & Supplies	56.80M
BMRC	Bank of Marin Bancorp	Banks	584.28M
BMRN	BioMarin Pharmaceutical	Biotechnology	14.30B
BMTC	Bryn Mawr Bank	Banks	771.67M
BMTX	BM Technologies	Software-Application	109.80M
BMY	Bristol-Myers Squibb	Pharmaceuticals	140.28B
BNED	Barnes & Noble Education	Specialty Retail	513.29M
BNFT	Benefitfocus	Software	382.15M
BNGO	BioNano Genomics	Life Sciences Tools & Services	1.55B
BNL	Broadstone Net Lease	Equity Real Estate Investment Trusts...	4.17B
BNR	Burning Rock Biotech	Diagnostics & Research	2.13B
BNS	Bank of Nova Scotia	Banks	74.87B
BNSO	Bonso Electronics International	Electronic Equipment, Instruments & C...	32.54M
BNTC	Benitec Biopharma	Biotechnology	32.28M
BNTX	BioNTech SE	Biotechnology	84.68B
BOAC	Bluescape Opportunities Acquisition	Shell Companies	740.39M
BOAS	BOA Acquisition	Shell Companies	278.59M
BOCH	Bank of Commerce Holdings	Banks	225.54M
BODY	Beachbody	Internet Content & Information	2.04B
BOH	Bank of Hawaii	Banks	3.18B
BOKF	BOK Financial	Banks	5.72B
BOLT	Bolt Biotherapeutics	Biotechnology	620.52M
BOMN	Boston Omaha	Media	962.41M
BON	Bon Natural Life	Packaged Foods	91.20M
BOOM	DMC Global	Energy Equipment & Services	749.75M
BOOT	Boot Barn Holdings	Specialty Retail	2.46B
BORR	Borr Drilling	Oil & Gas Drilling	197.15M
BOSC	BOS Better Online Solutions	Communications Equipment	20.90M
BOTJ	Bank of the James Financial	Banks	65.18M
BOWX	BowX Acquisition	Shell Companies	600.73M
BOX	Box, Inc.	Software	3.46B
BOXL	Boxlight	Technology Hardware, Storage & Periph...	143.66M
BP	BP plc	Oil, Gas & Consumable Fuels	82.18B
BPMC	Blueprint Medicines	Biotechnology	5.78B
BPMP	BP Midstream Partners	Oil, Gas & Consumable Fuels	1.38B
BPOP	Popular	Banks	5.94B
BPRN	Bank of Princeton	Banks	199.51M
BPT	BP Prudhoe Bay Royalty Trust	Oil, Gas & Consumable Fuels	76.83M
BPTH	Bio-Path Holdings	Biotechnology	38.28M
BPTS	Biophytis	Biotechnology	115.00M
BQ	Boqii Holding	Specialty Retail	247.85M
BR	Broadridge Financial Solutions	IT Services	19.74B
BRAG	Bragg Gaming Group	Electronic Gaming & Multimedia	212.03M
BRBR	Bellring Brands	Personal Products	1.31B
BRBS	Blue Ridge Bankshares	Banks	324.48M
BRC	Brady Corporation	Commercial Services & Supplies	2.62B
BRCN	Burcon NutraScience	Packaged Foods	266.24M
BRDG	Bridge Investment Group	REIT-Diversified	2.00B
BREZ	Breeze Holdings Acquisition	Shell Companies	147.72M
BRFS	BRF S.A.	Food Products	3.75B
BRG	Bluerock Residential Growth REIT	Equity Real Estate Investment Trusts...	286.07M
BRID	Bridgford Foods	Food Products	103.93M
BRIV	B. Riley Principal 250 Merger	Shell Companies	186.29M
BRK.A	Berkshire Hathaway	Diversified Financial Services	628.50B
BRK.B	Berkshire Hathaway	Diversified Financial Services	628.50B
BRKL	Brookline Bancorp	Banks	1.12B
BRKR	Bruker	Life Sciences Tools & Services	13.56B
BRKS	Brooks Automation	Semiconductors & Semiconductor Equipment	6.83B
BRLI	Brilliant Acquisition	Shell Companies	62.21M
BRMK	Broadmark Realty Capital	Mortgage Real Estate Investment Trus...	1.36B
BRN	Barnwell Industries	Oil, Gas & Consumable Fuels	24.75M
BRO	Brown & Brown	Insurance	16.27B
BROG	Brooge Energy	Oil, Gas & Consumable Fuels	997.25M
BRP	BRP Group	Insurance	3.73B
BRPM	B. Riley Principal 150 Merger	Shell Companies	209.16M
BRQS	Borqs Technologies	Technology Hardware, Storage & Periph...	96.39M
BRSP	BrightSpire Capital	REIT-Diversified	1.23B
BRT	BRT Apartments	Equity Real Estate Investment Trusts...	356.66M
BRX	Brixmor Property Group	Equity Real Estate Investment Trusts...	6.69B
BRY	Berry Corporation	Oil, Gas & Consumable Fuels	469.95M
BSAC	Banco Santander-Chile	Banks	9.49B
BSBK	Bogota Financial	Thrifts & Mortgage Finance	148.87M
BSBR	Banco Santander Brasil	Banks	52.33B
BSET	Bassett Furniture Industries	Household Durables	192.15M
BSGA	Blue Safari Group Acquisition	Shell Companies	70.27M
BSGM	BioSig Technologies	Health Care Equipment & Supplies	104.42M
BSIG	BrightSphere Investment Group	Capital Markets	2.12B
BSKY	Big Sky Growth Partners	Shell Companies	366.45M
BSM	Black Stone Minerals	Oil, Gas & Consumable Fuels	2.21B
BSMX	Banco Santander Mexico	Banks	7.87B
BSN	Broadstone Acquisition	Shell Companies	378.96M
BSQR	Bsquare Corporation	Software	53.26M
BSRR	Sierra Bancorp	Banks	361.57M
BSVN	Bank7 Corp.	Banks	185.36M
BSX	Boston Scientific	Health Care Equipment & Supplies	63.30B
BSY	Bentley Systems	Software-Application	19.45B
BTAI	BioXcel Therapeutics	Biotechnology	823.41M
BTAQ	Burgundy Technology Acquisition	Shell Companies	438.78M
BTB	Bit Brother	Restaurants	32.50M
BTBT	Bit Digital	Software	566.96M
BTCM	BIT Mining	Capital Markets	818.32M
BTCY	Biotricity	Medical Devices	157.47M
BTG	B2Gold	Metals & Mining	3.87B
BTI	British American Tobacco	Tobacco	84.79B
BTN	Ballantyne Strong	Entertainment	61.58M
BTNB	Bridgetown 2 Holdings	Shell Companies	372.26M
BTRS	BTRS Holdings	Software-Application	1.65B
BTTR	Better Choice Company	Packaged Foods	116.57M
BTU	Peabody Energy	Oil, Gas & Consumable Fuels	2.17B
BTWN	Bridgetown Holdings	Shell Companies	731.84M
BTX	Brooklyn ImmunoTherapeutics	Biotechnology	634.20M
BUD	Anheuser-Busch InBev	Beverages	114.13B
BUR	Burford Capital	Asset Management	2.41B
BURL	Burlington Stores	Specialty Retail	19.16B
BUSE	First Busey	Banks	1.29B
BV	BrightView Holdings	Commercial Services & Supplies	1.65B
BVH	Bluegreen Vacations	Hotels, Restaurants & Leisure	524.66M
BVN	Compania de Minas Buenaventura	Metals & Mining	1.80B
BVS	Bioventus	Diagnostics & Research	834.55M
BVXV	BiondVax Pharmaceuticals	Pharmaceuticals	33.97M
BW	Babcock & Wilcox Enterprises	Electrical Equipment	562.12M
BWA	BorgWarner	Auto Components	10.28B
BWAC	Better World Acquisition	Shell Companies	161.70M
BWAY	Brainsway	Health Care Equipment & Supplies	132.60M
BWB	Bridgewater Bancshares	Thrifts & Mortgage Finance	448.43M
BWEN	Broadwind Energy	Electrical Equipment	57.38M
BWFG	Bankwell Financial Group	Banks	225.25M
BWMN	Bowman Consulting Group	Consulting Services	152.97M
BWMX	Betterware de Mexico	Internet & Direct Marketing Retail	1.36B
BWXT	BWX Technologies	Aerospace & Defense	5.38B
BX	Blackstone Group	Capital Markets	92.09B
BXC	BlueLinx Holdings	Trading Companies & Distributors	525.27M
BXMT	Blackstone Mortgage Trust	Mortgage Real Estate Investment Trus...	4.54B
BXP	Boston Properties	Equity Real Estate Investment Trusts...	16.88B
BXRX	Baudax Bio	Biotechnology	58.94M
BXS	BancorpSouth Bank	Banks	3.17B
BY	Byline Bancorp	Banks	882.96M
BYD	Boyd Gaming	Hotels, Restaurants & Leisure	6.65B
BYFC	Broadway Financial	Thrifts & Mortgage Finance	269.85M
BYND	Beyond Meat	Food Products	7.14B
BYRN	Byrna Technologies	Aerospace & Defense	648.83M
BYSI	BeyondSpring	Biotechnology	955.98M
BYTS	BYTE Acquisition	Shell Companies	372.20M
BZ	Kanzhun	Staffing & Employment Services	14.90B
BZH	Beazer Homes USA	Household Durables	566.10M
BZUN	Baozun	Internet & Direct Marketing Retail	1.80B
C	Citigroup	Banks	141.00B
CAAP	Corporacion America Airports	Transportation Infrastructure	929.94M
